Manufacturer,Name,Price (in Rupees),Compatible networks,Release Date,OS,Chipset,CPU,GPU,Memory (in GB),Storage (in GB),SIM,Battery (in mAh),Charging (in Watts),Display Size (in Inches),Display Type,Refresh Rate,Sound,Rear Camera (in MP),Front Camera (in MP),Connectivity,Water resistance
Asus,Asus ZenFone 9,47990,2G / 3G / 4G LTE / 5G,2022-09-15,Android 12,Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno730,16,256,Dual SIM,4300,30.0,5.9,Super AMOLED,120,Stereo Speakers,50,12,"Wi-Fi 6e, dual-band, Wi-Fi Direct, DLNA, hotspotBluetooth 5.2, A2DP, LE, aptX HD, aptX Adaptive, LDAC",IP68
Xiaomi,Black Shark 5,42090,2G / 3G / 4G LTE / 5G,2022-03-30,Android 12,Black Shark 5:Snapdragon870 5G (7 nm)Black Shark 5 Pro:Snapdragon8 Gen 1 (4 nm)Black Shark 5 RS:Snapdragon888/888+ 5G (5 nm),Black Shark 5:Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)Black Shark 5 Pro:Octa-core (1x3.00 GHz Cortex-X2 & 3x2.40 GHz Cortex-A710 & 4x1.70 GHz Cortex-A510)Black Shark 5 RS:Octa-core (1x2.84/3.0 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),Black Shark 5:Adreno650Black Shark 5 Pro:Adreno730Black Shark 5 RS:Adreno660,12,512,Dual SIM,4650,120.0,6.67,Super AMOLED,144,Stereo Speakers,64,16,"Wi-Fi 6, dual-band, Wi-Fi Direct, hotspotBluetooth 5.2, A2DP, LE, aptX HD, aptX AdaptiveA-GPS, GLONASS, GALILEO, QZSS, BDS",IP68
HTC,HTC Desire 22 Pro,31890,2G / 3G / 4G LTE / 5G,2022-07-01,Android 12,Qualcomm SM6375 Snapdragon 695 5G,Snapdragon 695,Adreno619,8,128,Dual SIM,4250,18.0,6.6,IPS LCD,120,Loudspeaker,64,32,"Wi-Fi 6, dual-band, Wi-Fi Direct 5.1, A2DP, LE GPS, GLONASS, GALILEO, BDS",IP67
Huawei,Huawei Mate 50,56990,2G / 3G / 4G LTE,2022-09-28,HarmonyOS3,Qualcomm SM8425 Snapdragon 8+ Gen 1 4G (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno730,12,512,Dual SIM,4460,66.0,6.7,OLED ,120,Stereo Speakers,50,13,"Wi-Fi 6, dual-band, Wi-Fi Direct, hotspotBluetooth	5.2, A2DP, LE",IP68
Apple,iPhone 14,67990,2G / 3G / 4G LTE / 5G,2022-09-16,iOS 17.2,Apple A15,Hexa-core (2x3.23 GHz Avalanche + 4x2.02 GHz Blizzard),Apple-designed 5-core,6,512,eSIM,3279,20.0,6.1,Super Retina XDR OLED,60,Stereo Speakers,12,12,"Wi-Fi 6 dual-band,Bluetooth 5.3(A2DP,LE),Ultra-wideband(UWB)",IP68
Apple,iPhone 14 Plus,72999,2G / 3G / 4G LTE / 5G,2022-09-16,iOS 17.2,Apple A15,Hexa-core (2x3.23 GHz Avalanche + 4x2.02 GHz Blizzard),Apple-designed 5-core,6,512,eSIM,4325,20.0,6.7,Super Retina XDR OLED,60,Stereo Speakers,12,12,"Wi-Fi 6 dual-band,Bluetooth 5.3(A2DP,LE),Ultra-wideband(UWB)",IP68
Apple,iPhone 14 Pro,119990,2G / 3G / 4G LTE / 5G,2022-09-16,iOS 17.2,A16 Bionic,Hexa-core (2x3.46Â GHz Everest + 4x2.02Â GHz Sawtooth),Apple-designed 5-core,6,512,eSIM,4500,20.0,6.1,Super Retina XDR OLED,120,Stereo Speakers,48,12,"Wi-Fi 6, dual-band, hotspotBluetooth 5.3, LE, LEO Satellite provided by Globalstar (Limited to emergencies in some countries only)",IP68
Apple,iPhone 14 Pro Max,127999,2G / 3G / 4G LTE / 5G,2022-09-16,iOS 17.2,A16 Bionic,Hexa-core (2x3.46Â GHz Everest + 4x2.02Â GHz Sawtooth),Apple-designed 5-core,6,512,eSIM,4500,20.0,6.7,Super Retina XDR OLED,120,Stereo Speakers,48,12,"Wi-Fi 6, dual-band, hotspotBluetooth 5.3, LE, LEO Satellite provided by Globalstar (Limited to emergencies in some countries only)",IP68
Apple,iPhone SE (3rd Generation),49900,2G / 3G / 4G LTE,2022-03-18,iOS 17.2,Apple A15 Bionic,"Hexa-core, 3.22Â GHz, 2x Avalanche and 4x Blizzard",Apple-designed quad-core,4,256,eSIM,2018,18.0,4.7,IPS LCD,60,Stereo Speakers,12,7,"Near-field communication (NFC),Lightning connector,Bluetooth 5.0,Wi-Fi 6(802.11ax),Voice over LTE (VoLTE),Wiâ€‘Fi calling,GPS,GNSS, Express Cards with power reserve",IP67
Motorola ,Moto Edge 30,23499,2G / 3G / 4G LTE / 5G,2022-01-24,Android 12,Edge 30:Qualcomm Snapdragon778G+Edge 30 Pro: Qualcomm Snapdragon 8 Gen 1Edge 30 Ultra: Qualcomm Snapdragon 8+ Gen 1Edge 30 Fusion: Qualcomm Snapdragon 888+Edge 30 Neo: Qualcomm Snapdragon 695 5G,"Octa-core,Edge 30: (1x 2.5 GHz Kryo 670 + 3x 2.4 GHz Kryo 670 + 4x 1.8 GHz Kryo 670)Edge 30 Pro: (1x 3.0 GHz Cortex-X2 + 3x 2.5 GHz Cortex-A710 + 4x 1.8 GHz Cortex-A510)Edge 30 Ultra: (1x 3.19 GHz Cortex-X2 + 3x 2.75 GHz Cortex-A710 + 4x 1.8 GHz Cortex-A510)Edge 30 Fusion: (1x 2.99 GHz Cortex-X1 + 3x 2.42 GHz Cortex-A78 + 4x 1.8 GHz Cortex-A55)Edge 30 Neo: (2x 2.2 GHz Kryo 660 Gold + 6x 1.7 GHz Kryo 660 Silver)",Edge 30:Adreno642LEdge 30 Pro/Ultra: Adreno 730Edge 30 Fusion: Adreno 660Edge 30 Neo: Adreno 619,12,512,Dual SIM,4020,120.0,6.5,OLED ,120,Stereo Speakers,50,32,"Wi-Fi802.11a/b/g/n/ac/6e (2.4 & 5 GHz), dual-band, WiFi direct, hotspot,Bluetoothv5.2,A2DP, Low-energy",None
